mij_mii,mij
.0006028,.0005229
.000025,.0000217
.0002411,.0002092
.0000125,.0000108
.0002067,.0001793
.0001895,.0001643
.0014985,.0012998
.0001033,.0000896
.0013435,.0011653
.0000168,.0000145
.0000689,.0000598
.0003445,.0002988
.0018774,.0016285
.0005167,.0004482
.0056323,.0048855
.0000296,.0000257
.0001033,.0000896
.000021,.0000182
.0000344,.0000299
.0011196,.0009711
.0078714,.0068277
.0000172,.0000149
.0014296,.00124
.0000183,.0000159
.0003789,.0003287
.0000172,.0000149
.0003273,.0002839
.0000344,.0000299
.00031,.0002689
.0000517,.0000448
.0009818,.0008516
.0000172,.0000149
.0003445,.0002988
.0000172,.0000149
.0003962,.0003436
.0000344,.0000299
.0010507,.0009114
.0000451,.0000399
.000202,.0001784
.0003635,.0003211
.0043171,.0038138
7.13e-06,6.30e-06
.0000475,.000042
.0000214,.0000189
.000708,.0006255
.0000309,.0000273
.0002851,.0002519
.0001093,.0000966
.0178315,.0157526
.0000143,.0000126
.0000689,.0000609
4.75e-06,4.20e-06
.0000546,.0000483
.0000119,.0000105
.0001378,.0001217
.0000309,.0000273
.0013234,.0011691
.000038,.0000336
.0001307,.0001154
1,.8834158
.0885422,.0782196
.0001972,.0001742
.0010359,.0009151
2.38e-06,2.10e-06
.0000523,.0000462
.0000238,.000021
.0001758,.0001553
.0001307,.0001154
.0021954,.0019394
.0000119,.0000105
.0000642,.0000567
4.75e-06,4.20e-06
.0001022,.0000903
.0000737,.0000651
.0005061,.0004471
.0000309,.0000273
.0002305,.0002036
9.50e-06,8.40e-06
.0001877,.0001658
.0002804,.0002477
.0009789,.0008648
.0001283,.0001133
.0015064,.0013307
